Start,6D6D6D,
End,FFFFFF,
,,
x,y,Luminance
3.183840E-3,2.064428E-3,22.280752
3.199920E-3,2.890181E-3,22.367207
3.216000E-3,2.477296E-3,22.323978
3.232080E-3,1.651543E-3,22.237524
3.248160E-3,1.651543E-3,22.237524
3.264240E-3,3.303067E-3,22.410435
3.280320E-3,5.780381E-3,22.669804
3.296400E-3,4.128838E-3,22.496891
3.312480E-3,1.238657E-3,22.194296
3.328560E-3,3.715971E-3,22.453665
3.344640E-3,2.064428E-3,22.280752
3.360720E-3,5.780381E-3,22.669804
3.376800E-3,3.303067E-3,22.410435
3.392880E-3,2.064428E-3,22.280752
3.408960E-3,5.780381E-3,22.669804
3.425040E-3,2.477296E-3,22.323978
3.441120E-3,3.715971E-3,22.453665
3.457200E-3,4.128838E-3,22.496891
3.473280E-3,2.477296E-3,22.323978
3.489360E-3,2.064428E-3,22.280752
3.505440E-3,825.789582E-6,22.151070
3.521520E-3,2.890181E-3,22.367207
3.537600E-3,1.651543E-3,22.237524
3.553680E-3,2.477296E-3,22.323978
3.569760E-3,4.954591E-3,22.583345
3.585840E-3,1.651543E-3,22.237524
3.601920E-3,2.890181E-3,22.367207
3.618000E-3,2.477296E-3,22.323978
3.634080E-3,2.477296E-3,22.323978
3.650160E-3,5.780381E-3,22.669804
3.666240E-3,4.541724E-3,22.540119
3.682320E-3,2.890181E-3,22.367207
3.698400E-3,5.367477E-3,22.626574
3.714480E-3,825.789582E-6,22.151070
3.730560E-3,2.064428E-3,22.280752
3.746640E-3,3.303067E-3,22.410435
3.762720E-3,1.651543E-3,22.237524
3.778800E-3,2.477296E-3,22.323978
3.794880E-3,5.367477E-3,22.626574
3.810960E-3,3.303067E-3,22.410435
3.827040E-3,2.477296E-3,22.323978
3.843120E-3,2.064428E-3,22.280752
3.859200E-3,1.238657E-3,22.194296
3.875280E-3,2.064428E-3,22.280752
3.891360E-3,3.715971E-3,22.453665
3.907440E-3,2.477296E-3,22.323978
3.923520E-3,2.890181E-3,22.367207
3.939600E-3,4.954591E-3,22.583345
3.955680E-3,5.367477E-3,22.626574
3.971760E-3,1.651543E-3,22.237524
3.987840E-3,1.651543E-3,22.237524
4.003920E-3,3.303067E-3,22.410435
4.020000E-3,2.477296E-3,22.323978
4.036080E-3,825.789582E-6,22.151070
4.052160E-3,4.128838E-3,22.496891
4.068240E-3,2.890181E-3,22.367207
4.084320E-3,1.651543E-3,22.237524
4.100400E-3,1.651543E-3,22.237524
