Start,FFFFFF,
End,DBDBDB,
,,
x,y,Luminance
1.189920E-3,943.373621E-3,124.557625
1.206000E-3,943.373621E-3,124.557625
1.222080E-3,945.783257E-3,124.644081
1.238160E-3,948.192716E-3,124.730530
1.254240E-3,951.807201E-3,124.860214
1.270320E-3,946.987867E-3,124.687302
1.286400E-3,950.602412E-3,124.816986
1.302480E-3,942.168593E-3,124.514389
1.318560E-3,940.963745E-3,124.471161
1.334640E-3,946.987867E-3,124.687302
1.350720E-3,949.397564E-3,124.773758
1.366800E-3,943.373621E-3,124.557625
1.382880E-3,943.373621E-3,124.557625
1.398960E-3,950.602412E-3,124.816986
1.415040E-3,948.192716E-3,124.730530
1.431120E-3,949.397564E-3,124.773758
1.447200E-3,954.216897E-3,124.946671
1.463280E-3,949.397564E-3,124.773758
1.479360E-3,946.987867E-3,124.687302
1.495440E-3,948.192716E-3,124.730530
1.511520E-3,949.397564E-3,124.773758
1.527600E-3,946.987867E-3,124.687302
1.543680E-3,951.807201E-3,124.860214
1.559760E-3,945.783257E-3,124.644081
1.575840E-3,942.168593E-3,124.514389
1.591920E-3,948.192716E-3,124.730530
1.608000E-3,956.626534E-3,125.033127
1.624080E-3,949.397564E-3,124.773758
1.640160E-3,949.397564E-3,124.773758
1.656240E-3,945.783257E-3,124.644081
1.672320E-3,951.807201E-3,124.860214
1.688400E-3,950.602412E-3,124.816986
1.704480E-3,946.987867E-3,124.687302
1.720560E-3,949.397564E-3,124.773758
1.736640E-3,940.963745E-3,124.471161
1.752720E-3,945.783257E-3,124.644081
1.768800E-3,950.602412E-3,124.816986
1.784880E-3,953.012049E-3,124.903442
1.800960E-3,953.012049E-3,124.903442
1.817040E-3,953.012049E-3,124.903442
1.833120E-3,944.578469E-3,124.600853
1.849200E-3,950.602412E-3,124.816986
1.865280E-3,950.602412E-3,124.816986
1.881360E-3,949.397564E-3,124.773758
1.897440E-3,957.831144E-3,125.076347
1.913520E-3,963.855326E-3,125.292488
1.929600E-3,951.807201E-3,124.860214
1.945680E-3,956.626534E-3,125.033127
1.961760E-3,955.421686E-3,124.989899
1.977840E-3,957.831144E-3,125.076347
1.993920E-3,954.216897E-3,124.946671
2.010000E-3,957.831144E-3,125.076347
2.026080E-3,963.855326E-3,125.292488
2.042160E-3,963.855326E-3,125.292488
2.058240E-3,961.445630E-3,125.206032
2.074320E-3,957.831144E-3,125.076347
2.090400E-3,956.626534E-3,125.033127
2.106480E-3,967.469811E-3,125.422173
2.122560E-3,973.493934E-3,125.638313
2.138640E-3,968.674421E-3,125.465393
2.154720E-3,968.674421E-3,125.465393
2.170800E-3,966.264963E-3,125.378944
2.186880E-3,978.313267E-3,125.811226
2.202960E-3,981.927752E-3,125.940910
2.219040E-3,977.108419E-3,125.767998
2.235120E-3,974.698782E-3,125.681541
2.251200E-3,978.313267E-3,125.811226
2.267280E-3,977.108419E-3,125.767998
2.283360E-3,978.313267E-3,125.811226
2.299440E-3,966.264963E-3,125.378944
2.315520E-3,962.650478E-3,125.249260
2.331600E-3,971.084476E-3,125.551865
2.347680E-3,979.518116E-3,125.854454
2.363760E-3,986.746848E-3,126.113815
2.379840E-3,977.108419E-3,125.767998
2.395920E-3,974.698782E-3,125.681541
2.412000E-3,978.313267E-3,125.811226
2.428080E-3,978.313267E-3,125.811226
2.444160E-3,975.903630E-3,125.724770
2.460240E-3,979.518116E-3,125.854454
2.476320E-3,979.518116E-3,125.854454
2.492400E-3,984.337211E-3,126.027359
2.508480E-3,979.518116E-3,125.854454
2.524560E-3,975.903630E-3,125.724770
2.540640E-3,980.722904E-3,125.897682
2.556720E-3,974.698782E-3,125.681541
2.572800E-3,973.493934E-3,125.638313
2.588880E-3,980.722904E-3,125.897682
2.604960E-3,978.313267E-3,125.811226
2.621040E-3,980.722904E-3,125.897682
2.637120E-3,978.313267E-3,125.811226
2.653200E-3,975.903630E-3,125.724770
2.669280E-3,985.542059E-3,126.070587
2.685360E-3,978.313267E-3,125.811226
2.701440E-3,975.903630E-3,125.724770
2.717520E-3,980.722904E-3,125.897682
2.733600E-3,980.722904E-3,125.897682
2.749680E-3,975.903630E-3,125.724770
2.765760E-3,977.108419E-3,125.767998
2.781840E-3,977.108419E-3,125.767998
2.797920E-3,978.313267E-3,125.811226
2.814000E-3,975.903630E-3,125.724770
2.830080E-3,977.108419E-3,125.767998
2.846160E-3,978.313267E-3,125.811226
2.862240E-3,978.313267E-3,125.811226
2.878320E-3,977.108419E-3,125.767998
2.894400E-3,969.879687E-3,125.508636
2.910480E-3,969.879687E-3,125.508636
2.926560E-3,963.855326E-3,125.292488
2.942640E-3,974.698782E-3,125.681541
2.958720E-3,986.746848E-3,126.113815
2.974800E-3,985.542059E-3,126.070587
2.990880E-3,980.722904E-3,125.897682
3.006960E-3,985.542059E-3,126.070587
3.023040E-3,980.722904E-3,125.897682
3.039120E-3,977.108419E-3,125.767998
3.055200E-3,978.313267E-3,125.811226
3.071280E-3,974.698782E-3,125.681541
3.087360E-3,979.518116E-3,125.854454
3.103440E-3,984.337211E-3,126.027359
3.119520E-3,983.132362E-3,125.984131
3.135600E-3,975.903630E-3,125.724770
3.151680E-3,973.493934E-3,125.638313
3.167760E-3,972.289324E-3,125.595093
