Start,FFFFFF,
End,000000,
,,
x,y,Luminance
4.309440E-3,986.120522E-3,125.031334
4.325520E-3,986.120522E-3,125.031334
4.341600E-3,987.136006E-3,125.161003
4.357680E-3,986.797512E-3,125.117775
4.373760E-3,986.459076E-3,125.074562
4.389840E-3,986.120522E-3,125.031334
4.405920E-3,986.797512E-3,125.117775
4.422000E-3,986.459076E-3,125.074562
4.438080E-3,986.797512E-3,125.117775
4.454160E-3,987.813115E-3,125.247459
4.470240E-3,987.813115E-3,125.247459
4.486320E-3,985.443473E-3,124.944878
4.502400E-3,986.797512E-3,125.117775
4.518480E-3,988.490164E-3,125.333916
4.534560E-3,986.120522E-3,125.031334
4.550640E-3,983.750880E-3,124.728745
4.566720E-3,985.443473E-3,124.944878
4.582800E-3,986.797512E-3,125.117775
4.598880E-3,985.443473E-3,124.944878
4.614960E-3,987.474561E-3,125.204231
4.631040E-3,987.136006E-3,125.161003
4.647120E-3,988.151610E-3,125.290688
4.663200E-3,989.167213E-3,125.420372
4.679280E-3,984.427929E-3,124.815201
4.695360E-3,985.782027E-3,124.988106
4.711440E-3,987.136006E-3,125.161003
4.727520E-3,987.136006E-3,125.161003
4.743600E-3,986.120522E-3,125.031334
4.759680E-3,987.136006E-3,125.161003
4.775760E-3,987.474561E-3,125.204231
4.791840E-3,986.797512E-3,125.117775
4.807920E-3,984.766483E-3,124.858429
4.824000E-3,984.089434E-3,124.771973
4.840080E-3,985.104978E-3,124.901649
4.856160E-3,987.474561E-3,125.204231
4.872240E-3,989.167213E-3,125.420372
4.888320E-3,986.459076E-3,125.074562
4.904400E-3,985.782027E-3,124.988106
4.920480E-3,987.136006E-3,125.161003
4.936560E-3,986.459076E-3,125.074562
4.952640E-3,988.490164E-3,125.333916
4.968720E-3,986.120522E-3,125.031334
4.984800E-3,986.459076E-3,125.074562
5.000880E-3,987.474561E-3,125.204231
5.016960E-3,986.459076E-3,125.074562
5.033040E-3,987.474561E-3,125.204231
5.049120E-3,986.120522E-3,125.031334
5.065200E-3,986.120522E-3,125.031334
5.081280E-3,985.443473E-3,124.944878
5.097360E-3,985.104978E-3,124.901649
5.113440E-3,987.136006E-3,125.161003
5.129520E-3,987.474561E-3,125.204231
5.145600E-3,988.490164E-3,125.333916
5.161680E-3,986.797512E-3,125.117775
5.177760E-3,986.459076E-3,125.074562
5.193840E-3,987.474561E-3,125.204231
5.209920E-3,987.813115E-3,125.247459
5.226000E-3,987.813115E-3,125.247459
5.242080E-3,990.521312E-3,125.593277
5.258160E-3,991.536856E-3,125.722961
5.274240E-3,990.182757E-3,125.550049
5.290320E-3,989.505768E-3,125.463600
5.306400E-3,988.151610E-3,125.290688
5.322480E-3,986.459076E-3,125.074562
5.338560E-3,987.813115E-3,125.247459
5.354641E-3,989.844203E-3,125.506821
5.370720E-3,993.229508E-3,125.939095
5.386801E-3,993.906558E-3,126.025551
5.402880E-3,993.568003E-3,125.982323
5.418960E-3,994.583607E-3,126.112007
5.435040E-3,991.875410E-3,125.766190
