Start,B6B6B6,
End,DBDBDB,
,,
x,y,Luminance
8.184721E-3,60.109325E-3,64.644875
8.200800E-3,54.644875E-3,64.471962
8.216880E-3,56.010988E-3,64.515190
8.232960E-3,58.743212E-3,64.601646
8.249041E-3,56.010988E-3,64.515190
8.265121E-3,62.841550E-3,64.731331
8.281200E-3,65.573774E-3,64.817787
8.297280E-3,57.377100E-3,64.558418
8.313361E-3,51.912647E-3,64.385506
8.329441E-3,56.010988E-3,64.515190
8.345520E-3,60.109325E-3,64.644875
8.361600E-3,65.573774E-3,64.817787
8.377681E-3,69.672115E-3,64.947472
8.393761E-3,64.207666E-3,64.774559
8.409840E-3,53.278763E-3,64.428734
8.425920E-3,51.912647E-3,64.385506
8.442000E-3,58.743212E-3,64.601646
8.458081E-3,58.743212E-3,64.601646
8.474161E-3,58.743212E-3,64.601646
8.490240E-3,61.475437E-3,64.688103
8.506320E-3,66.939890E-3,64.861015
8.522401E-3,76.502681E-3,65.163612
8.538481E-3,65.573774E-3,64.817787
8.554560E-3,56.010988E-3,64.515190
8.570640E-3,45.082085E-3,64.169365
8.586721E-3,58.743212E-3,64.601646
8.602801E-3,71.038231E-3,64.990700
8.618880E-3,69.672115E-3,64.947472
8.634960E-3,65.573774E-3,64.817787
8.651040E-3,56.010988E-3,64.515190
8.667121E-3,46.448197E-3,64.212593
8.683201E-3,53.278763E-3,64.428734
8.699280E-3,49.180422E-3,64.299049
8.715360E-3,60.109325E-3,64.644875
8.731441E-3,60.109325E-3,64.644875
8.747521E-3,69.672115E-3,64.947472
8.763600E-3,68.305999E-3,64.904243
8.779680E-3,68.305999E-3,64.904243
8.795761E-3,68.305999E-3,64.904243
8.811841E-3,61.475437E-3,64.688103
8.827920E-3,50.546296E-3,64.342270
8.844000E-3,50.546296E-3,64.342270
8.860081E-3,69.672115E-3,64.947472
8.876161E-3,72.404340E-3,65.033928
8.892241E-3,66.939890E-3,64.861015
8.908320E-3,51.912647E-3,64.385506
8.924400E-3,46.448197E-3,64.212593
8.940481E-3,50.546296E-3,64.342270
8.956561E-3,50.546296E-3,64.342270
8.972640E-3,61.475437E-3,64.688103
8.988720E-3,64.207666E-3,64.774559
9.004801E-3,69.672115E-3,64.947472
9.020881E-3,75.136565E-3,65.120384
9.036960E-3,62.841550E-3,64.731331
9.053040E-3,53.278763E-3,64.428734
9.069121E-3,49.180422E-3,64.299049
9.085201E-3,53.278763E-3,64.428734
9.101281E-3,60.109325E-3,64.644875
9.117360E-3,68.305999E-3,64.904243
9.133440E-3,65.573774E-3,64.817787
9.149521E-3,53.278763E-3,64.428734
9.165601E-3,42.349618E-3,64.082901
9.181680E-3,50.546296E-3,64.342270
9.197760E-3,56.010988E-3,64.515190
9.213841E-3,54.644875E-3,64.471962
9.229921E-3,53.278763E-3,64.428734
9.246000E-3,58.743212E-3,64.601646
9.262080E-3,61.475437E-3,64.688103
9.278161E-3,60.109325E-3,64.644875
9.294241E-3,57.377100E-3,64.558418
9.310321E-3,56.010988E-3,64.515190
9.326400E-3,57.377100E-3,64.558418
9.342480E-3,56.010988E-3,64.515190
9.358561E-3,58.743212E-3,64.601646
9.374641E-3,60.109325E-3,64.644875
9.390720E-3,54.644875E-3,64.471962
9.406800E-3,50.546296E-3,64.342270
9.422881E-3,58.743212E-3,64.601646
9.438961E-3,58.743212E-3,64.601646
9.455040E-3,60.109325E-3,64.644875
9.471120E-3,62.841550E-3,64.731331
9.487201E-3,60.109325E-3,64.644875
9.503281E-3,61.475437E-3,64.688103
9.519361E-3,50.546296E-3,64.342270
9.535440E-3,47.814310E-3,64.255821
9.551520E-3,56.010988E-3,64.515190
9.567601E-3,62.841550E-3,64.731331
9.583681E-3,54.644875E-3,64.471962
9.599760E-3,58.743212E-3,64.601646
9.615840E-3,60.109325E-3,64.644875
9.631921E-3,53.278763E-3,64.428734
9.648001E-3,54.644875E-3,64.471962
9.664080E-3,46.448197E-3,64.212593
9.680160E-3,54.644875E-3,64.471962
9.696241E-3,49.180422E-3,64.299049
9.712321E-3,53.278763E-3,64.428734
9.728401E-3,53.278763E-3,64.428734
9.744480E-3,50.546296E-3,64.342270
9.760560E-3,54.644875E-3,64.471962
9.776641E-3,61.475437E-3,64.688103
9.792721E-3,56.010988E-3,64.515190
9.808800E-3,50.546296E-3,64.342270
9.824880E-3,54.644875E-3,64.471962
9.840961E-3,53.278763E-3,64.428734
9.857041E-3,54.644875E-3,64.471962
9.873120E-3,58.743212E-3,64.601646
9.889200E-3,53.278763E-3,64.428734
9.905281E-3,53.278763E-3,64.428734
9.921361E-3,49.180422E-3,64.299049
9.937441E-3,62.841550E-3,64.731331
9.953520E-3,64.207666E-3,64.774559
9.969600E-3,50.546296E-3,64.342270
9.985681E-3,60.109325E-3,64.644875
10.001761E-3,61.475437E-3,64.688103
10.017840E-3,53.278763E-3,64.428734
10.033920E-3,39.617512E-3,63.996449
