Start,6D6D6D,
End,DBDBDB,
,,
x,y,Luminance
1.189920E-3,9.882656E-3,22.110315
1.206000E-3,11.117964E-3,22.196779
1.222080E-3,10.500282E-3,22.153545
1.238160E-3,10.500282E-3,22.153545
1.254240E-3,11.117964E-3,22.196779
1.270320E-3,11.117964E-3,22.196779
1.286400E-3,9.264974E-3,22.067081
1.302480E-3,11.117964E-3,22.196779
1.318560E-3,11.735618E-3,22.240011
1.334640E-3,6.176650E-3,21.850918
1.350720E-3,6.794304E-3,21.894150
1.366800E-3,9.264974E-3,22.067081
1.382880E-3,12.353272E-3,22.283243
1.398960E-3,8.029639E-3,21.980616
1.415040E-3,6.176650E-3,21.850918
1.431120E-3,11.735618E-3,22.240011
1.447200E-3,13.588607E-3,22.369709
1.463280E-3,12.970953E-3,22.326477
1.479360E-3,12.353272E-3,22.283243
1.495440E-3,9.264974E-3,22.067081
1.511520E-3,9.882656E-3,22.110315
1.527600E-3,8.647320E-3,22.023849
1.543680E-3,11.735618E-3,22.240011
1.559760E-3,11.735618E-3,22.240011
1.575840E-3,11.117964E-3,22.196779
1.591920E-3,9.882656E-3,22.110315
1.608000E-3,7.411985E-3,21.937384
1.624080E-3,6.794304E-3,21.894150
1.640160E-3,5.558996E-3,21.807686
1.656240E-3,10.500282E-3,22.153545
1.672320E-3,13.588607E-3,22.369709
1.688400E-3,11.117964E-3,22.196779
1.704480E-3,8.029639E-3,21.980616
1.720560E-3,5.558996E-3,21.807686
1.736640E-3,7.411985E-3,21.937384
1.752720E-3,10.500282E-3,22.153545
1.768800E-3,11.735618E-3,22.240011
1.784880E-3,9.264974E-3,22.067081
1.800960E-3,9.882656E-3,22.110315
1.817040E-3,13.588607E-3,22.369709
1.833120E-3,9.264974E-3,22.067081
1.849200E-3,8.029639E-3,21.980616
1.865280E-3,10.500282E-3,22.153545
1.881360E-3,9.264974E-3,22.067081
1.897440E-3,10.500282E-3,22.153545
1.913520E-3,11.735618E-3,22.240011
1.929600E-3,9.882656E-3,22.110315
1.945680E-3,4.941314E-3,21.764452
1.961760E-3,4.323660E-3,21.721220
1.977840E-3,6.794304E-3,21.894150
1.993920E-3,6.794304E-3,21.894150
2.010000E-3,8.647320E-3,22.023849
2.026080E-3,14.206261E-3,22.412941
2.042160E-3,12.970953E-3,22.326477
2.058240E-3,11.117964E-3,22.196779
2.074320E-3,8.647320E-3,22.023849
2.090400E-3,6.794304E-3,21.894150
2.106480E-3,6.176650E-3,21.850918
2.122560E-3,6.794304E-3,21.894150
2.138640E-3,8.029639E-3,21.980616
2.154720E-3,8.029639E-3,21.980616
2.170800E-3,7.411985E-3,21.937384
2.186880E-3,6.176650E-3,21.850918
2.202960E-3,6.176650E-3,21.850918
2.219040E-3,5.558996E-3,21.807686
2.235120E-3,5.558996E-3,21.807686
2.251200E-3,9.264974E-3,22.067081
2.267280E-3,14.823942E-3,22.456175
2.283360E-3,12.970953E-3,22.326477
2.299440E-3,8.647320E-3,22.023849
2.315520E-3,7.411985E-3,21.937384
2.331600E-3,8.647320E-3,22.023849
2.347680E-3,9.882656E-3,22.110315
2.363760E-3,7.411985E-3,21.937384
2.379840E-3,3.706006E-3,21.677988
2.395920E-3,5.558996E-3,21.807686
2.412000E-3,7.411985E-3,21.937384
2.428080E-3,4.323660E-3,21.721220
2.444160E-3,4.941314E-3,21.764452
2.460240E-3,9.264974E-3,22.067081
2.476320E-3,11.117964E-3,22.196779
2.492400E-3,10.500282E-3,22.153545
2.508480E-3,9.882656E-3,22.110315
2.524560E-3,9.264974E-3,22.067081
2.540640E-3,9.264974E-3,22.067081
2.556720E-3,6.794304E-3,21.894150
2.572800E-3,6.794304E-3,21.894150
2.588880E-3,9.264974E-3,22.067081
2.604960E-3,6.794304E-3,21.894150
2.621040E-3,6.176650E-3,21.850918
2.637120E-3,8.647320E-3,22.023849
2.653200E-3,6.176650E-3,21.850918
2.669280E-3,5.558996E-3,21.807686
2.685360E-3,6.176650E-3,21.850918
2.701440E-3,8.029639E-3,21.980616
2.717520E-3,9.882656E-3,22.110315
2.733600E-3,14.823942E-3,22.456175
2.749680E-3,14.823942E-3,22.456175
2.765760E-3,8.647320E-3,22.023849
2.781840E-3,12.353272E-3,22.283243
2.797920E-3,12.353272E-3,22.283243
2.814000E-3,11.735618E-3,22.240011
2.830080E-3,8.647320E-3,22.023849
2.846160E-3,11.735618E-3,22.240011
2.862240E-3,11.735618E-3,22.240011
2.878320E-3,9.882656E-3,22.110315
2.894400E-3,9.882656E-3,22.110315
2.910480E-3,11.117964E-3,22.196779
2.926560E-3,14.823942E-3,22.456175
2.942640E-3,16.676933E-3,22.585873
2.958720E-3,12.353272E-3,22.283243
2.974800E-3,11.117964E-3,22.196779
2.990880E-3,10.500282E-3,22.153545
3.006960E-3,14.206261E-3,22.412941
3.023040E-3,13.588607E-3,22.369709
3.039120E-3,12.353272E-3,22.283243
3.055200E-3,12.970953E-3,22.326477
3.071280E-3,10.500282E-3,22.153545
3.087360E-3,10.500282E-3,22.153545
3.103440E-3,14.206261E-3,22.412941
3.119520E-3,12.970953E-3,22.326477
3.135600E-3,14.823942E-3,22.456175
3.151680E-3,11.735618E-3,22.240011
3.167760E-3,9.882656E-3,22.110315
