Start,6D6D6D,
End,929292,
,,
x,y,Luminance
3.923520E-3,34.707133E-3,22.196468
3.939600E-3,47.722463E-3,22.455864
3.955680E-3,43.383986E-3,22.369398
3.971760E-3,39.045606E-3,22.282934
3.987840E-3,49.891461E-3,22.499092
4.003920E-3,36.876418E-3,22.239702
4.020000E-3,36.876418E-3,22.239702
4.036080E-3,49.891461E-3,22.499092
4.052160E-3,32.538038E-3,22.153238
4.068240E-3,54.229934E-3,22.585558
4.084320E-3,43.383986E-3,22.369398
4.100400E-3,49.891461E-3,22.499092
4.116480E-3,45.553174E-3,22.412630
4.132560E-3,52.060746E-3,22.542326
4.148640E-3,45.553174E-3,22.412630
4.164720E-3,47.722463E-3,22.455864
4.180800E-3,49.891461E-3,22.499092
4.196880E-3,43.383986E-3,22.369398
4.212960E-3,49.891461E-3,22.499092
4.229040E-3,39.045606E-3,22.282934
4.245120E-3,43.383986E-3,22.369398
4.261200E-3,47.722463E-3,22.455864
4.277280E-3,45.553174E-3,22.412630
4.293360E-3,52.060746E-3,22.542326
4.309440E-3,52.060746E-3,22.542326
4.325520E-3,47.722463E-3,22.455864
4.341600E-3,52.060746E-3,22.542326
4.357680E-3,54.229934E-3,22.585558
4.373760E-3,49.891461E-3,22.499092
4.389840E-3,47.722463E-3,22.455864
4.405920E-3,43.383986E-3,22.369398
4.422000E-3,39.045606E-3,22.282934
4.438080E-3,47.722463E-3,22.455864
4.454160E-3,45.553174E-3,22.412630
4.470240E-3,47.722463E-3,22.455864
4.486320E-3,39.045606E-3,22.282934
4.502400E-3,45.553174E-3,22.412630
4.518480E-3,58.568411E-3,22.672024
4.534560E-3,52.060746E-3,22.542326
4.550640E-3,36.876418E-3,22.239702
4.566720E-3,47.722463E-3,22.455864
4.582800E-3,39.045606E-3,22.282934
4.598880E-3,47.722463E-3,22.455864
4.614960E-3,58.568411E-3,22.672024
4.631040E-3,52.060746E-3,22.542326
4.647120E-3,47.722463E-3,22.455864
4.663200E-3,41.214701E-3,22.326164
4.679280E-3,39.045606E-3,22.282934
4.695360E-3,52.060746E-3,22.542326
4.711440E-3,43.383986E-3,22.369398
4.727520E-3,39.045606E-3,22.282934
4.743600E-3,49.891461E-3,22.499092
4.759680E-3,47.722463E-3,22.455864
4.775760E-3,32.538038E-3,22.153238
4.791840E-3,54.229934E-3,22.585558
4.807920E-3,56.399126E-3,22.628790
4.824000E-3,36.876418E-3,22.239702
4.840080E-3,34.707133E-3,22.196468
4.856160E-3,39.045606E-3,22.282934
4.872240E-3,56.399126E-3,22.628790
4.888320E-3,58.568411E-3,22.672024
4.904400E-3,60.737502E-3,22.715254
4.920480E-3,41.214701E-3,22.326164
4.936560E-3,54.229934E-3,22.585558
4.952640E-3,49.891461E-3,22.499092
4.968720E-3,47.722463E-3,22.455864
4.984800E-3,36.876418E-3,22.239702
5.000880E-3,52.060746E-3,22.542326
5.016960E-3,47.722463E-3,22.455864
5.033040E-3,36.876418E-3,22.239702
5.049120E-3,49.891461E-3,22.499092
5.065200E-3,43.383986E-3,22.369398
5.081280E-3,36.876418E-3,22.239702
5.097360E-3,47.722463E-3,22.455864
5.113440E-3,43.383986E-3,22.369398
5.129520E-3,45.553174E-3,22.412630
5.145600E-3,41.214701E-3,22.326164
5.161680E-3,52.060746E-3,22.542326
5.177760E-3,47.722463E-3,22.455864
5.193840E-3,52.060746E-3,22.542326
5.209920E-3,34.707133E-3,22.196468
5.226000E-3,43.383986E-3,22.369398
5.242080E-3,49.891461E-3,22.499092
5.258160E-3,49.891461E-3,22.499092
5.274240E-3,62.906690E-3,22.758486
5.290320E-3,47.722463E-3,22.455864
5.306400E-3,43.383986E-3,22.369398
5.322480E-3,36.876418E-3,22.239702
5.338560E-3,39.045606E-3,22.282934
5.354641E-3,41.214701E-3,22.326164
5.370720E-3,58.568411E-3,22.672024
5.386801E-3,49.891461E-3,22.499092
5.402880E-3,41.214701E-3,22.326164
5.418960E-3,39.045606E-3,22.282934
5.435040E-3,52.060746E-3,22.542326
5.451120E-3,52.060746E-3,22.542326
5.467200E-3,41.214701E-3,22.326164
5.483280E-3,45.553174E-3,22.412630
5.499360E-3,45.553174E-3,22.412630
5.515440E-3,43.383986E-3,22.369398
5.531520E-3,54.229934E-3,22.585558
5.547600E-3,49.891461E-3,22.499092
5.563681E-3,43.383986E-3,22.369398
5.579760E-3,45.553174E-3,22.412630
5.595841E-3,58.568411E-3,22.672024
5.611920E-3,56.399126E-3,22.628790
5.628000E-3,49.891461E-3,22.499092
5.644080E-3,52.060746E-3,22.542326
5.660160E-3,43.383986E-3,22.369398
5.676240E-3,47.722463E-3,22.455864
5.692320E-3,45.553174E-3,22.412630
5.708400E-3,49.891461E-3,22.499092
5.724480E-3,28.199563E-3,22.066772
5.740560E-3,41.214701E-3,22.326164
5.756640E-3,43.383986E-3,22.369398
5.772721E-3,49.891461E-3,22.499092
5.788800E-3,36.876418E-3,22.239702
5.804881E-3,52.060746E-3,22.542326
5.820960E-3,47.722463E-3,22.455864
5.837040E-3,43.383986E-3,22.369398
5.853120E-3,30.368751E-3,22.110004
5.869200E-3,43.383986E-3,22.369398
5.885280E-3,47.722463E-3,22.455864
5.901360E-3,45.553174E-3,22.412630
5.917440E-3,45.553174E-3,22.412630
5.933520E-3,39.045606E-3,22.282934
5.949600E-3,39.045606E-3,22.282934
5.965680E-3,34.707133E-3,22.196468
5.981761E-3,52.060746E-3,22.542326
5.997840E-3,41.214701E-3,22.326164
6.013921E-3,60.737502E-3,22.715254
6.030000E-3,60.737502E-3,22.715254
6.046080E-3,36.876418E-3,22.239702
6.062160E-3,32.538038E-3,22.153238
6.078240E-3,32.538038E-3,22.153238
6.094320E-3,43.383986E-3,22.369398
6.110400E-3,34.707133E-3,22.196468
6.126480E-3,54.229934E-3,22.585558
6.142560E-3,45.553174E-3,22.412630
6.158640E-3,45.553174E-3,22.412630
6.174720E-3,39.045606E-3,22.282934
6.190801E-3,34.707133E-3,22.196468
6.206880E-3,32.538038E-3,22.153238
6.222961E-3,43.383986E-3,22.369398
6.239040E-3,43.383986E-3,22.369398
6.255121E-3,49.891461E-3,22.499092
6.271200E-3,47.722463E-3,22.455864
6.287280E-3,34.707133E-3,22.196468
6.303360E-3,52.060746E-3,22.542326
6.319440E-3,54.229934E-3,22.585558
6.335520E-3,45.553174E-3,22.412630
6.351600E-3,36.876418E-3,22.239702
6.367680E-3,39.045606E-3,22.282934
6.383760E-3,36.876418E-3,22.239702
6.399841E-3,36.876418E-3,22.239702
6.415920E-3,41.214701E-3,22.326164
6.432001E-3,41.214701E-3,22.326164
6.448080E-3,49.891461E-3,22.499092
6.464161E-3,45.553174E-3,22.412630
6.480240E-3,36.876418E-3,22.239702
6.496320E-3,45.553174E-3,22.412630
6.512400E-3,28.199563E-3,22.066772
6.528480E-3,23.861183E-3,21.980309
6.544560E-3,36.876418E-3,22.239702
6.560640E-3,45.553174E-3,22.412630
6.576720E-3,47.722463E-3,22.455864
6.592800E-3,47.722463E-3,22.455864
6.608881E-3,49.891461E-3,22.499092
6.624960E-3,47.722463E-3,22.455864
6.641041E-3,49.891461E-3,22.499092
6.657120E-3,41.214701E-3,22.326164
6.673201E-3,39.045606E-3,22.282934
6.689280E-3,39.045606E-3,22.282934
6.705360E-3,52.060746E-3,22.542326
6.721440E-3,43.383986E-3,22.369398
6.737520E-3,39.045606E-3,22.282934
6.753600E-3,54.229934E-3,22.585558
6.769680E-3,45.553174E-3,22.412630
6.785760E-3,39.045606E-3,22.282934
6.801840E-3,43.383986E-3,22.369398
6.817921E-3,39.045606E-3,22.282934
6.834000E-3,34.707133E-3,22.196468
6.850081E-3,45.553174E-3,22.412630
6.866160E-3,47.722463E-3,22.455864
6.882241E-3,34.707133E-3,22.196468
6.898320E-3,39.045606E-3,22.282934
6.914400E-3,28.199563E-3,22.066772
6.930480E-3,41.214701E-3,22.326164
6.946560E-3,39.045606E-3,22.282934
6.962640E-3,41.214701E-3,22.326164
6.978720E-3,39.045606E-3,22.282934
6.994800E-3,34.707133E-3,22.196468
7.010880E-3,36.876418E-3,22.239702
7.026961E-3,41.214701E-3,22.326164
7.043040E-3,47.722463E-3,22.455864
7.059121E-3,41.214701E-3,22.326164
7.075200E-3,39.045606E-3,22.282934
7.091281E-3,43.383986E-3,22.369398
7.107360E-3,52.060746E-3,22.542326
7.123441E-3,41.214701E-3,22.326164
7.139520E-3,43.383986E-3,22.369398
7.155600E-3,32.538038E-3,22.153238
7.171680E-3,43.383986E-3,22.369398
7.187760E-3,43.383986E-3,22.369398
7.203841E-3,34.707133E-3,22.196468
7.219920E-3,49.891461E-3,22.499092
7.236001E-3,43.383986E-3,22.369398
7.252080E-3,41.214701E-3,22.326164
7.268161E-3,36.876418E-3,22.239702
7.284240E-3,39.045606E-3,22.282934
7.300321E-3,47.722463E-3,22.455864
7.316400E-3,36.876418E-3,22.239702
7.332481E-3,34.707133E-3,22.196468
7.348560E-3,39.045606E-3,22.282934
7.364640E-3,34.707133E-3,22.196468
7.380720E-3,41.214701E-3,22.326164
7.396800E-3,45.553174E-3,22.412630
7.412881E-3,41.214701E-3,22.326164
7.428960E-3,41.214701E-3,22.326164
7.445041E-3,43.383986E-3,22.369398
7.461120E-3,32.538038E-3,22.153238
7.477201E-3,39.045606E-3,22.282934
7.493280E-3,30.368751E-3,22.110004
7.509361E-3,23.861183E-3,21.980309
7.525440E-3,34.707133E-3,22.196468
7.541521E-3,32.538038E-3,22.153238
7.557600E-3,34.707133E-3,22.196468
7.573680E-3,36.876418E-3,22.239702
7.589760E-3,36.876418E-3,22.239702
7.605840E-3,49.891461E-3,22.499092
7.621921E-3,52.060746E-3,22.542326
7.638000E-3,36.876418E-3,22.239702
7.654081E-3,32.538038E-3,22.153238
7.670160E-3,41.214701E-3,22.326164
7.686241E-3,45.553174E-3,22.412630
7.702320E-3,34.707133E-3,22.196468
7.718401E-3,28.199563E-3,22.066772
7.734480E-3,43.383986E-3,22.369398
7.750561E-3,28.199563E-3,22.066772
7.766640E-3,39.045606E-3,22.282934
7.782720E-3,26.030373E-3,22.023540
7.798800E-3,41.214701E-3,22.326164
7.814880E-3,54.229934E-3,22.585558
7.830961E-3,41.214701E-3,22.326164
7.847041E-3,36.876418E-3,22.239702
7.863120E-3,26.030373E-3,22.023540
7.879200E-3,28.199563E-3,22.066772
7.895281E-3,34.707133E-3,22.196468
7.911361E-3,36.876418E-3,22.239702
7.927440E-3,41.214701E-3,22.326164
7.943520E-3,23.861183E-3,21.980309
7.959601E-3,32.538038E-3,22.153238
7.975681E-3,36.876418E-3,22.239702
7.991760E-3,43.383986E-3,22.369398
8.007840E-3,32.538038E-3,22.153238
8.023920E-3,47.722463E-3,22.455864
8.040001E-3,43.383986E-3,22.369398
8.056081E-3,34.707133E-3,22.196468
8.072160E-3,34.707133E-3,22.196468
8.088240E-3,43.383986E-3,22.369398
8.104321E-3,54.229934E-3,22.585558
8.120401E-3,41.214701E-3,22.326164
8.136480E-3,26.030373E-3,22.023540
8.152560E-3,39.045606E-3,22.282934
8.168641E-3,39.045606E-3,22.282934
8.184721E-3,30.368751E-3,22.110004
8.200800E-3,60.737502E-3,22.715254
8.216880E-3,54.229934E-3,22.585558
8.232960E-3,30.368751E-3,22.110004
8.249041E-3,28.199563E-3,22.066772
8.265121E-3,41.214701E-3,22.326164
8.281200E-3,32.538038E-3,22.153238
8.297280E-3,34.707133E-3,22.196468
8.313361E-3,34.707133E-3,22.196468
8.329441E-3,26.030373E-3,22.023540
8.345520E-3,34.707133E-3,22.196468
8.361600E-3,32.538038E-3,22.153238
8.377681E-3,21.691993E-3,21.937077
8.393761E-3,28.199563E-3,22.066772
8.409840E-3,39.045606E-3,22.282934
8.425920E-3,39.045606E-3,22.282934
8.442000E-3,47.722463E-3,22.455864
8.458081E-3,43.383986E-3,22.369398
8.474161E-3,36.876418E-3,22.239702
8.490240E-3,15.184424E-3,21.807381
8.506320E-3,21.691993E-3,21.937077
8.522401E-3,17.353613E-3,21.850613
8.538481E-3,26.030373E-3,22.023540
8.554560E-3,39.045606E-3,22.282934
8.570640E-3,49.891461E-3,22.499092
8.586721E-3,47.722463E-3,22.455864
8.602801E-3,32.538038E-3,22.153238
8.618880E-3,32.538038E-3,22.153238
8.634960E-3,32.538038E-3,22.153238
8.651040E-3,19.522803E-3,21.893845
8.667121E-3,21.691993E-3,21.937077
8.683201E-3,21.691993E-3,21.937077
8.699280E-3,26.030373E-3,22.023540
8.715360E-3,34.707133E-3,22.196468
8.731441E-3,45.553174E-3,22.412630
8.747521E-3,43.383986E-3,22.369398
8.763600E-3,32.538038E-3,22.153238
8.779680E-3,32.538038E-3,22.153238
8.795761E-3,41.214701E-3,22.326164
8.811841E-3,30.368751E-3,22.110004
8.827920E-3,23.861183E-3,21.980309
8.844000E-3,36.876418E-3,22.239702
8.860081E-3,43.383986E-3,22.369398
8.876161E-3,43.383986E-3,22.369398
8.892241E-3,41.214701E-3,22.326164
8.908320E-3,32.538038E-3,22.153238
8.924400E-3,23.861183E-3,21.980309
8.940481E-3,34.707133E-3,22.196468
8.956561E-3,34.707133E-3,22.196468
8.972640E-3,26.030373E-3,22.023540
8.988720E-3,28.199563E-3,22.066772
9.004801E-3,30.368751E-3,22.110004
9.020881E-3,26.030373E-3,22.023540
9.036960E-3,21.691993E-3,21.937077
9.053040E-3,19.522803E-3,21.893845
9.069121E-3,28.199563E-3,22.066772
9.085201E-3,34.707133E-3,22.196468
9.101281E-3,41.214701E-3,22.326164
9.117360E-3,43.383986E-3,22.369398
9.133440E-3,34.707133E-3,22.196468
9.149521E-3,30.368751E-3,22.110004
9.165601E-3,34.707133E-3,22.196468
9.181680E-3,36.876418E-3,22.239702
9.197760E-3,41.214701E-3,22.326164
